Name,School,ERA,W,L,G,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,BF,BAA,WP,HBP,BK
"Gilmartin, Chris",UC San Diego,12,0,1,6,1,0,0,0,3,5,4,4,2,1,0,0,2,11,0.455,0,1,0
"Hasegawa, Sam",UC San Diego,6.3,1,1,17,1,0,0,0,20,21,18,14,14,15,2,2,3,76,0.276,3,2,0
"McCracken, Nolan",UC San Diego,7.37,1,0,17,0,0,0,0,14.66,18,13,12,13,21,4,0,1,57,0.316,0,1,0
"Morris, Lonnie",UC San Diego,4.3,0,0,13,0,0,0,0,14.66,9,9,7,15,11,1,0,3,48,0.188,0,2,0
"Soberon, Joey",UC San Diego,5.18,1,0,19,1,0,0,1,33,37,24,19,19,25,6,3,4,131,0.282,2,5,0
"Tornero, Joel",UC San Diego,81.82,0,0,4,0,0,0,0,0.33,3,3,3,1,1,1,0,0,4,0.75,0,1,0
"Acosta, Jaykob",CSU Bakersfield,4.73,3,7,16,9,0,0,0,72.33,75,49,38,32,46,14,1,2,274,0.274,6,18,0
"Verdugo, Ryan",CSU Bakersfield,4.55,2,1,20,1,0,0,5,33.66,33,22,17,21,30,8,0,1,121,0.273,9,5,1
"Ulloa, Gabe",CSU Bakersfield,7.83,3,1,23,0,0,0,0,33.33,52,37,29,15,27,8,2,3,149,0.349,9,1,2
"Altamirano, Kevin",CSU Bakersfield,3.98,0,0,13,0,0,0,1,20.33,19,9,9,12,20,2,0,0,74,0.257,3,4,0
"Butler, Davonte",CSU Bakersfield,3.68,0,1,6,2,0,0,0,7.33,8,6,3,5,7,3,0,0,29,0.276,3,1,0
"Caggianelli, Benji",CSU Bakersfield,4.53,2,3,14,12,0,0,0,53.66,37,42,27,39,71,5,0,8,195,0.19,12,11,1
"Comnos, Matt",CSU Bakersfield,7.43,1,2,18,1,0,0,1,26.66,32,22,22,16,32,7,0,5,101,0.317,0,6,0
"Johnson, Kenny",CSU Bakersfield,6.21,1,3,16,1,0,0,2,29,45,27,20,11,18,8,0,3,127,0.354,2,6,1
"O'Connor, Kellen",CSU Bakersfield,3.79,4,4,13,11,1,1,0,54.66,65,30,23,14,56,10,0,6,217,0.3,2,4,1
"Ott, Taylor",CSU Bakersfield,3.75,0,1,16,0,0,0,0,12,14,13,5,7,11,2,0,3,49,0.286,1,1,1
